Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
disability_date_mdy,disability,,text,Date of Disability Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
self_reported_disability,disability,,radio,"Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook,  bathing or dressing.","1, Yes | 0, No | 98, Prefer not to answer",,,,,,,,,,,,
disability_deaf_2,disability,,radio,"Are you deaf, or do you have serious difficulty hearing?","1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
disability_blind_2,disability,,radio,"Are you blind, or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No| 99, Prefer not to answer",,,,,,,,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
disability_decisions_2,disability,,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? 

(5 years of age or older)","1, Yes | 0, No| 99, Prefer not to answer",,,,,,"[self_reported_disability] = ""1""",,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
disability_walking_2,disability,,radio,"Do you have serious difficulty walking or climbing stairs? 

(5 years of age or older)","1, Yes | 0, No| 99, Prefer not to answer",,,,,,"[self_reported_disability] = ""1""",,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
disability_dress_2,disability,,radio,"Do you have difficulty dressing or bathing?

(5 years of age or older)","1, Yes | 0, No| 99, Prefer not to answer",,,,,,"[self_reported_disability] = ""1""",,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
disability_errands_2,disability,,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? 

(15 years of age or older)","1, Yes | 0, No| 99, Prefer not to answer",,,,,,"[self_reported_disability] = ""1""",,RH,,,,CDC Disability|https://www.cdc.gov/ncbddd/disabilityandhealth/datasets.html
vacc_date_mdy,vaccine_acceptance,,text,Date of Vaccine Acceptance Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
flu_vaccinehistind_2,vaccine_acceptance,Vaccination,radio,Have you ever received a flu vaccination?,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,,,,,,,C08096
flu_vaccine_season_3,vaccine_acceptance,,radio,Have you received a flu vaccine in the last 12 months?,"1, Yes | 0, No | 98, Don't know| 99, Prefer not to answer",,,,,,"[flu_vaccinehistind_2] = ""1""",,,,,,UPENN SURVEY
covid_vaccine,vaccine_acceptance,,radio,Have you received a COVID-19 vaccine?,"1, Yes | 0, No | 98, Prefer not to answer | 99, Don't know",,,,,,,,,,,,
vaccine_reasons_3,vaccine_acceptance,Reasons for Getting/Not Getting a COVID 19 Vaccine,checkbox,Why would/did you get a COVID-19 vaccine?,"1, I want(ed) to keep my family safe | 2, I want(ed) to keep my community safe | 3, I want(ed) to keep myself safe | 4, I have(had) a chronic health problem, like asthma or diabetes | 5, My doctor told me to get a COVID-19 vaccine | 6, I don't(didn't) want to get really sick from COVID-19 | 7, I want(ed) to feel safe around other people | 8, I believe(d) life won't go back to normal until most people get a COVID-19 vaccine | 10, Required by my school or workplace | 11, Required for travel | 9, Other | 96, Not Applicable| 99, Prefer not to answer",Check all that apply,,,,,,,,,,, @NONEOFTHEABOVE='96'| From CEAL questions
vaccine_concerns_3,vaccine_acceptance,,checkbox,Why would you/did you NOT get a COVID-19 vaccine? ,"1, I am/was allergic to vaccines | 2, I don't/didn't like needles | 3, I am/was not concerned about getting really sick from COVID-19 | 4, I am/was concerned about side effects from the vaccine | 5, I don't/didn't think vaccines work very well | 6, I don't/didn't trust that the vaccine will be safe | 7, I don't/didn't believe the COVID-19 pandemic is as bad as some people say it is | 8, I don't/didn't want to pay for it | 9, I don't/didn't know enough about how well a COVID-19 vaccine works | 10, Other | 96, Not Applicable| 99, Prefer not to answer",Check all that apply,,,,,,,,,,, @NONEOFTHEABOVE = '96'| From CEAL questions
test_date_mdy,testing,,text,Date of Testing Collection,,MM/DD/YYYY,date_mdy,1/1/1900,,,,,,,,,Note: Maximum expected day = Current day.
isolate_maintain_job,testing,,radio,"If you were to test positive for COVID-19, would you be able to isolate without losing your job?","1, Yes | 2, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,,
quarantine_maintain_job,testing,,radio,"If you would be exposed to someone with COVID-19, would you be able to quarantine without losing your job? ","1, Yes | 2, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,,
tested_for_covid,testing,Tested previously for COVID-19,radio,Have you ever been tested for COVID-19?,"1, Yes | 2, No | 98, Don't know | 99, Prefer not to answer",,,,,,,,,,,,PX570201
tested_positive_for_covid,testing,Tested positive for COVID-19,radio,Have you ever tested positive for COVID-19?,"1, Yes | 2, No | 98, Don't know | 99, Prefer not to answer",,,,,,"[tested_for_covid] = ""1""",,,,,,
positivemonth_covidtest_2,testing,,dropdown,What month did you first test positive for COVID-19?,"1, January | 2, February | 3, March | 4, April | 5, May | 6, June | 7, July | 8, August | 9, September | 10, October | 11, November | 12, December| 99, Prefer not to answer",,,,,,"[tested_positive_for_covid] = ""1""",,,,,,PX570201
positiveyear_covidtest_3,testing,,radio,What year did you first test positive for COVID-19?,"1,2019|2,2020|3,2021 |4,2022| 99, Prefer not to answer",,,,,,"[tested_positive_for_covid] = ""1""",,,,,,"PX570201.  For sequentially added years, we will accept all versions of this variable going forward, including 1.0."
